우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|43|0|4415035021102710001016280|||3611035021||도계리||0|271|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|49|0|4415035021102710000018052|||3611035021||도계리||0|271|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|64|29|4415035021103550005000066|||3611035021||도계리||0|355|01|5||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|64|42|4415035021103250003016214|||3611035021||도계리||0|325|01|3||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|54|0|4415035021102720001016989|||3611035021||도계리||0|290|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|74|0|4415035021102860000016254|||3611035021||도계리||0|286|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|9|0|4415035021101510020018046|||3611035021||도계리||0|151|01|20||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|7|0|4415035021101510016018049|||3611035021||도계리||0|151|01|16||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|12|15|4415035021101610005018158|||3611035021||도계리||0|161|01|5||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|12|13|4415035021101610004018130|||3611035021||도계리||0|161|01|4||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|12|16|4415035021101600029018135|||3611035021||도계리||0|160|01|29||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|12|10|4415035021101600021016313|||3611035021||도계리||0|160|01|21||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|417|0|4415035021101620017016329|||3611035021||도계리||0|162|01|4||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|387|6|4415035021101530000017971|||3611035021||도계리||0|153|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|421|1|4415035021101600001016334|||3611035021||도계리||0|160|01|55||
